#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
7078151|2016-08-24T03:13:10.400000|42.706|13.2412|9.1|BULLETIN-INGV||||ML|3.3|--|1 km NW Accumoli (RI)|earthquake
7078301|2016-08-24T03:15:52.690000|42.7335|13.1578|9.1|BULLETIN-INGV||||ML|2.7|--|8 km SE Norcia (PG)|earthquake
7078261|2016-08-24T03:16:30.160000|42.7222|13.1605|8.2|BULLETIN-INGV||||ML|3.5|--|8 km W Accumoli (RI)|earthquake
7078371|2016-08-24T03:17:59.120000|42.7588|13.1378|7.8|BULLETIN-INGV||||Mw|3.6|--|5 km SE Norcia (PG)|earthquake
7078791|2016-08-24T03:18:59.730000|42.7788|13.1385|9.5|BULLETIN-INGV||||ML|2.7|--|4 km E Norcia (PG)|earthquake
7078391|2016-08-24T03:19:03.620000|42.7862|13.2227|6.6|BULLETIN-INGV||||ML|3.7|--|6 km W Arquata del Tronto (AP)|earthquake
7078481|2016-08-24T03:20:29.450000|42.737|13.1768|10.3|BULLETIN-INGV||||ML|2.8|--|7 km NW Accumoli (RI)|earthquake
7078591|2016-08-24T03:21:58.330000|42.7265|13.2362|9.3|BULLETIN-INGV||||ML|3.0|--|4 km N Accumoli (RI)|earthquake
7078601|2016-08-24T03:22:38.270000|42.7718|13.1978|7.1|BULLETIN-INGV||||ML|3.1|--|8 km W Arquata del Tronto (AP)|earthquake
7078761|2016-08-24T03:25:34.870000|42.7537|13.1877|8.0|BULLETIN-INGV||||ML|2.6|--|8 km NW Accumoli (RI)|earthquake
7078781|2016-08-24T03:26:14.290000|42.7502|13.185|9.1|BULLETIN-INGV||||ML|2.7|--|8 km NW Accumoli (RI)|earthquake
7078911|2016-08-24T03:27:36.730000|42.6418|13.2608|9.5|BULLETIN-INGV||||ML|2.5|--|3 km W Amatrice (RI)|earthquake
7078971|2016-08-24T03:28:58.810000|42.7867|13.2315|8.4|BULLETIN-INGV||||ML|2.8|--|6 km W Arquata del Tronto (AP)|earthquake
7078991|2016-08-24T03:29:35.530000|42.7132|13.1935|10.2|BULLETIN-INGV||||ML|2.6|--|5 km W Accumoli (RI)|earthquake
7079131|2016-08-24T03:31:45.960000|42.7515|13.1542|7.2|BULLETIN-INGV||||ML|2.9|--|7 km SE Norcia (PG)|earthquake
7079751|2016-08-24T03:32:21.490000|42.6125|13.324|4.0|BULLETIN-INGV||||ML|2.8|--|3 km SE Amatrice (RI)|earthquake
7079221|2016-08-24T03:34:21.890000|42.6948|13.2417|8.9|BULLETIN-INGV||||ML|2.5|--|1 km W Accumoli (RI)|earthquake
7079281|2016-08-24T03:35:33.790000|42.822|13.158|9.9|BULLETIN-INGV||||ML|2.5|--|6 km NE Norcia (PG)|earthquake
